Experiment,HCl concentration / mol/l
Titration 1,0.108108108108108
Titration 2,0.6270270270270268
Titration 3,0.478078078078078
Titration 4,0.198198198198198
Titration 5,0.5417417417417416
Titration 6,0.2318318318318316
Titration 7,0.0504504504504504
Titration 8,0.6558558558558556
Titration 9,0.4708708708708709
Titration 10,0.778378378378378
Titration 11,0.836036036036036
Titration 12,0.7675675675675672
Titration 13,0.5297297297297296
Titration 14,0.2174174174174172
Titration 15,0.5153153153153152
Titration 16,0.5225225225225224
Titration 17,0.34354354354354316
Titration 18,0.2198198198198196
Titration 19,0.0684684684684684
Titration 20,0.9129129129129128
Titration 21,0.836036036036036
Titration 22,0.3327327327327324
Titration 23,0.7747747747747744
Titration 24,0.3975975975975976
Titration 25,0.12012012012012
Titration 26,0.0612612612612612
Titration 27,0.6318318318318314
Titration 28,0.0528528528528528
Titration 29,0.5825825825825824
Titration 30,0.6786786786786784
Titration 31,0.2246246246246244
Titration 32,0.9657657657657656
Titration 33,0.622222222222222
Titration 34,0.0744744744744744
Titration 35,0.6414414414414412
Titration 36,0.4924924924924924
Titration 37,0.622222222222222
Titration 38,0.2294294294294292
Titration 39,0.5573573573573573
Titration 40,0.2930930930930928
Titration 41,0.3927927927927928
Titration 42,0.1465465465465464
Titration 43,0.5045045045045043
Titration 44,0.436036036036036
Titration 45,0.378378378378378
Titration 46,0.8420420420420421
Titration 47,0.7147147147147144
Titration 48,0.168168168168168
Titration 49,0.12012012012012
Titration 50,0.6258258258258256
Titration 51,0.502102102102102
Titration 52,0.9837837837837837
Titration 53,0.46006006006006
Titration 54,0.6054054054054052
Titration 55,0.5513513513513512
Titration 56,0.3255255255255252
Titration 57,0.2918918918918916
Titration 58,0.3639639639639636
Titration 59,0.0816816816816816
Titration 60,0.222222222222222
Titration 61,0.5765765765765763
Titration 62,0.6054054054054052
Titration 63,0.126126126126126
Titration 64,0.532132132132132
Titration 65,0.568168168168168
Titration 66,0.3267267267267264
Titration 67,0.7831831831831828
Titration 68,0.5333333333333332
Titration 69,0.10210210210210201
Titration 70,0.5645645645645644
Titration 71,0.4432432432432432
Titration 72,0.2834834834834832
Titration 73,0.7399399399399396
Titration 74,0.0612612612612612
Titration 75,0.23303303303303283
Titration 76,0.568168168168168
Titration 77,0.5105105105105104
Titration 78,0.7003003003003
Titration 79,0.3831831831831832
Titration 80,0.7399399399399396
Titration 81,0.6966966966966964
Titration 82,0.31471471471471435
Titration 83,0.8552552552552553
Titration 84,0.8792792792792792
Titration 85,0.216216216216216
Titration 86,0.7687687687687689
Titration 87,0.7087087087087083
Titration 88,0.3831831831831832
Titration 89,0.7747747747747744
Titration 90,0.7447447447447444
Titration 91,0.5069069069069068
Titration 92,0.3675675675675672
Titration 93,0.8864864864864864
Titration 94,0.6018018018018017
Titration 95,0.46006006006006
Titration 96,0.46006006006006
Titration 97,0.1525525525525524
Titration 98,0.9261261261261261
Titration 99,0.4012012012012012
Titration 100,0.3315315315315312
